,Sex,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
66980,1,54,182.0,88.0,22.0,108.0,40.5
42901,0,30,156.0,57.0,15.0,95.0,40.0
34184,1,39,186.0,92.0,6.0,86.0,39.4
62936,1,21,191.0,96.0,17.0,91.0,40.4
71096,1,42,187.0,90.0,14.0,96.0,40.3
37889,1,51,184.0,85.0,16.0,101.0,40.2
74374,0,38,177.0,74.0,1.0,87.0,37.7
9048,0,43,167.0,67.0,5.0,81.0,39.1
19006,0,73,169.0,67.0,29.0,108.0,40.7
50220,1,52,204.0,108.0,3.0,87.0,38.5
38066,0,37,153.0,58.0,4.0,87.0,38.8
4344,0,65,178.0,71.0,24.0,106.0,40.5
60829,0,34,156.0,60.0,19.0,101.0,40.2
42211,1,27,187.0,91.0,28.0,109.0,40.8
13573,0,58,181.0,78.0,5.0,84.0,38.8
44253,0,36,166.0,64.0,14.0,89.0,40.2
33675,0,50,171.0,76.0,26.0,102.0,40.6
70088,1,46,180.0,91.0,27.0,111.0,41.1
19492,1,42,169.0,72.0,30.0,111.0,41.0
1416,0,21,181.0,78.0,6.0,88.0,39.1
27941,1,45,164.0,72.0,7.0,85.0,39.7
45402,0,67,167.0,66.0,9.0,86.0,39.6
72059,1,56,177.0,81.0,3.0,81.0,39.0
19879,1,52,184.0,83.0,14.0,96.0,39.9
21613,0,26,166.0,65.0,29.0,110.0,40.8
62166,0,21,174.0,70.0,27.0,102.0,40.4
53509,1,25,182.0,79.0,2.0,85.0,38.0
44127,1,49,188.0,88.0,2.0,89.0,38.1
45576,0,48,164.0,64.0,12.0,91.0,40.1
56296,1,38,170.0,72.0,20.0,99.0,40.5
31946,0,44,176.0,75.0,24.0,100.0,40.7
44971,0,30,157.0,62.0,18.0,106.0,40.4
16173,1,61,195.0,101.0,25.0,110.0,40.6
10309,0,55,174.0,69.0,27.0,110.0,40.6
28224,1,33,186.0,94.0,5.0,82.0,39.3
64568,0,22,157.0,54.0,19.0,98.0,40.7
64241,1,22,182.0,86.0,27.0,108.0,40.7
69595,0,26,177.0,62.0,9.0,90.0,39.7
24107,1,50,172.0,74.0,14.0,98.0,40.6
55706,1,45,179.0,80.0,14.0,90.0,40.1
64806,1,22,178.0,77.0,3.0,84.0,38.5
53165,1,39,190.0,92.0,5.0,80.0,39.2
33310,0,53,169.0,68.0,5.0,74.0,38.7
21434,1,39,179.0,81.0,26.0,101.0,40.9
44543,1,28,200.0,99.0,10.0,90.0,39.9
37527,0,48,161.0,65.0,11.0,92.0,40.0
2496,1,52,176.0,76.0,22.0,105.0,40.7
25514,0,50,173.0,68.0,3.0,78.0,38.9
21399,1,25,174.0,78.0,12.0,91.0,40.2
40962,0,42,173.0,71.0,6.0,84.0,39.1
63823,1,22,202.0,102.0,9.0,91.0,39.4
67754,0,31,177.0,77.0,29.0,102.0,40.6
65913,1,51,187.0,91.0,14.0,96.0,40.1
21532,1,37,196.0,102.0,18.0,105.0,40.7
13097,0,24,164.0,65.0,11.0,91.0,39.8
41788,1,22,187.0,84.0,15.0,90.0,40.1
72543,1,69,184.0,88.0,12.0,96.0,39.9
22933,0,61,171.0,70.0,17.0,86.0,40.2
8461,0,79,161.0,61.0,25.0,110.0,40.7
60803,1,21,194.0,95.0,15.0,99.0,40.5
9658,1,47,187.0,88.0,22.0,102.0,40.8
36704,1,58,184.0,88.0,28.0,108.0,40.9
3106,0,55,150.0,53.0,7.0,83.0,39.4
43669,1,44,193.0,98.0,18.0,102.0,40.2
42371,0,39,168.0,68.0,25.0,98.0,40.5
1109,1,63,183.0,88.0,2.0,85.0,38.3
35974,1,52,185.0,88.0,5.0,82.0,39.0
63270,0,56,165.0,66.0,18.0,98.0,40.3
1133,1,50,179.0,81.0,11.0,94.0,39.8
5098,0,64,150.0,55.0,28.0,105.0,40.8
62644,1,33,174.0,72.0,26.0,106.0,40.7
55921,0,51,168.0,68.0,3.0,80.0,38.6
60387,1,54,181.0,82.0,14.0,94.0,40.3
10944,1,42,194.0,92.0,14.0,95.0,40.2
62285,1,39,187.0,87.0,17.0,94.0,40.4
45340,0,24,169.0,64.0,28.0,105.0,40.6
55528,1,37,189.0,91.0,30.0,111.0,41.0
67513,0,79,160.0,64.0,24.0,104.0,40.8
9229,1,72,192.0,98.0,28.0,110.0,40.8
27471,1,39,209.0,111.0,4.0,86.0,39.1
47821,1,38,185.0,88.0,19.0,95.0,40.2
14444,1,31,175.0,78.0,18.0,101.0,40.6
64868,0,48,174.0,74.0,5.0,89.0,39.1
44103,1,25,178.0,77.0,10.0,86.0,39.8
70750,0,20,163.0,59.0,14.0,93.0,40.3
14627,1,40,173.0,74.0,16.0,102.0,40.1
74174,1,39,185.0,93.0,13.0,90.0,40.0
45932,1,39,203.0,111.0,23.0,102.0,40.7
29580,0,37,160.0,60.0,21.0,90.0,40.5
46878,0,30,175.0,72.0,25.0,115.0,40.9
25505,0,66,173.0,71.0,15.0,97.0,40.1
67466,1,42,178.0,79.0,13.0,93.0,40.0
25388,0,30,151.0,51.0,27.0,107.0,40.9
74074,1,42,182.0,88.0,10.0,91.0,39.7
36974,0,59,172.0,72.0,24.0,99.0,40.9
26428,0,36,159.0,63.0,17.0,95.0,40.1
35374,1,41,185.0,82.0,13.0,88.0,40.3
51694,1,32,187.0,94.0,19.0,98.0,40.4
39671,0,35,167.0,67.0,8.0,93.0,39.2
13779,1,21,174.0,74.0,9.0,98.0,39.7
8595,0,25,154.0,56.0,27.0,110.0,40.6
2713,0,32,161.0,60.0,10.0,99.0,39.7
71436,0,32,165.0,63.0,12.0,97.0,40.1
71679,0,20,167.0,72.0,3.0,85.0,38.8
34122,0,22,171.0,67.0,18.0,100.0,40.2
46564,1,61,184.0,85.0,20.0,102.0,40.3
44393,0,46,153.0,54.0,11.0,88.0,39.9
27826,1,62,185.0,90.0,2.0,90.0,38.2
52436,1,75,186.0,84.0,27.0,111.0,41.1
649,1,60,176.0,78.0,2.0,86.0,38.6
58373,1,34,181.0,83.0,2.0,91.0,38.3
72593,1,39,191.0,100.0,15.0,93.0,40.1
22365,0,59,163.0,59.0,29.0,116.0,40.9
54447,0,48,176.0,72.0,19.0,99.0,40.6
25419,0,31,168.0,64.0,29.0,110.0,40.8
52043,0,32,164.0,67.0,25.0,105.0,40.7
48931,1,35,178.0,81.0,29.0,107.0,40.8
2690,0,54,161.0,64.0,7.0,82.0,39.8
65459,1,21,198.0,99.0,22.0,103.0,40.7
41824,1,28,199.0,97.0,8.0,79.0,39.7
70025,1,33,171.0,70.0,27.0,106.0,41.1
141,0,26,159.0,56.0,14.0,85.0,40.2
17474,1,33,169.0,67.0,9.0,94.0,39.7
19549,1,66,185.0,84.0,29.0,107.0,40.9
19357,1,52,186.0,79.0,24.0,101.0,40.6
5220,0,21,170.0,66.0,19.0,100.0,40.2
3193,1,32,189.0,93.0,14.0,93.0,40.4
74427,0,72,160.0,59.0,4.0,83.0,38.9
54960,1,62,191.0,98.0,3.0,87.0,38.8
50326,1,57,196.0,96.0,21.0,103.0,40.6
31289,1,40,178.0,75.0,14.0,91.0,40.1
65432,0,28,163.0,58.0,4.0,88.0,39.0
48203,1,63,185.0,85.0,1.0,89.0,37.7
51361,1,25,188.0,90.0,22.0,104.0,40.6
29720,0,29,159.0,66.0,27.0,111.0,40.8
21993,1,50,179.0,82.0,29.0,111.0,40.8
41931,0,20,167.0,64.0,18.0,101.0,40.4
59849,0,74,177.0,73.0,20.0,102.0,40.8
6870,0,24,160.0,63.0,7.0,85.0,39.7
66514,0,47,165.0,63.0,17.0,89.0,40.3
19391,0,26,171.0,73.0,10.0,94.0,39.6
24985,1,54,179.0,88.0,5.0,82.0,39.1
62607,0,61,166.0,68.0,11.0,94.0,39.9
45884,1,40,187.0,87.0,11.0,90.0,39.7
52028,1,27,182.0,83.0,10.0,95.0,40.0
26952,0,54,161.0,64.0,16.0,95.0,40.2
13130,0,74,164.0,63.0,8.0,90.0,39.5
67251,0,48,161.0,61.0,13.0,101.0,40.1
22723,1,21,174.0,74.0,10.0,88.0,39.5
40932,0,29,168.0,67.0,20.0,104.0,40.3
8905,0,28,164.0,59.0,8.0,94.0,39.4
67719,1,59,196.0,96.0,26.0,97.0,41.2
34988,1,20,175.0,79.0,27.0,108.0,41.0
21344,0,64,161.0,59.0,17.0,99.0,40.6
43912,0,59,169.0,64.0,21.0,101.0,40.2
36698,0,50,167.0,67.0,27.0,106.0,40.6
24405,1,42,190.0,93.0,12.0,90.0,40.1
20722,0,56,168.0,67.0,13.0,96.0,39.9
23414,1,39,186.0,84.0,23.0,106.0,40.8
774,1,29,179.0,82.0,3.0,82.0,38.8
30360,1,32,189.0,91.0,4.0,86.0,39.1
16957,0,44,169.0,67.0,20.0,99.0,40.8
39005,1,72,179.0,80.0,17.0,94.0,40.7
34233,1,38,186.0,90.0,26.0,105.0,41.2
13172,1,44,192.0,93.0,15.0,93.0,40.0
6167,0,34,160.0,60.0,6.0,86.0,40.0
66539,0,62,167.0,68.0,12.0,89.0,40.1
35151,1,49,183.0,82.0,24.0,103.0,40.9
3438,1,20,185.0,87.0,8.0,88.0,39.4
38550,0,51,161.0,58.0,12.0,94.0,40.2
2390,1,48,192.0,91.0,1.0,80.0,37.4
47509,1,41,184.0,85.0,3.0,81.0,38.8
54731,0,36,176.0,70.0,9.0,89.0,39.4
57773,0,64,171.0,70.0,27.0,115.0,40.8
56657,0,30,172.0,70.0,1.0,87.0,37.7
45849,1,51,190.0,94.0,9.0,90.0,39.7
44720,1,71,190.0,98.0,24.0,104.0,40.9
11963,0,31,168.0,64.0,24.0,105.0,40.8
9771,1,61,195.0,92.0,15.0,95.0,40.4
51984,1,41,178.0,78.0,28.0,101.0,41.3
14182,1,40,194.0,81.0,5.0,84.0,39.0
49078,1,51,174.0,80.0,6.0,89.0,39.2
23181,1,27,180.0,83.0,26.0,110.0,40.8
31782,1,32,177.0,75.0,15.0,103.0,40.1
13747,0,27,167.0,62.0,4.0,83.0,38.8
48996,1,23,181.0,81.0,6.0,94.0,39.2
58948,0,54,179.0,84.0,17.0,102.0,40.7
7303,1,46,188.0,89.0,22.0,106.0,40.6
63432,1,32,168.0,72.0,13.0,90.0,40.2
17258,0,31,172.0,68.0,19.0,101.0,40.5
19529,0,28,158.0,57.0,10.0,88.0,39.7
69203,0,25,165.0,62.0,30.0,109.0,41.0
16395,0,59,159.0,64.0,7.0,86.0,39.7
38063,0,26,166.0,60.0,2.0,82.0,38.5
63417,1,35,182.0,84.0,8.0,93.0,39.4
20029,1,20,174.0,73.0,20.0,101.0,40.2
10448,1,20,190.0,90.0,2.0,77.0,37.7
70818,0,30,160.0,57.0,2.0,81.0,38.0
53400,0,31,164.0,62.0,27.0,105.0,40.9
38433,0,22,171.0,65.0,28.0,111.0,40.7
74442,0,42,165.0,66.0,17.0,94.0,40.1
65045,0,20,157.0,58.0,1.0,84.0,37.6
42439,1,47,175.0,79.0,13.0,94.0,40.0
70483,1,37,196.0,95.0,14.0,96.0,40.3
55383,1,62,179.0,86.0,20.0,96.0,40.8
57806,0,76,162.0,56.0,12.0,96.0,39.8
49118,1,37,192.0,91.0,28.0,116.0,40.9
12581,0,63,160.0,63.0,7.0,82.0,39.5
47786,0,41,160.0,59.0,10.0,91.0,40.0
47169,0,35,163.0,65.0,28.0,105.0,40.8
40188,0,33,162.0,62.0,18.0,105.0,40.3
62758,0,38,171.0,71.0,19.0,97.0,40.5
15097,1,67,179.0,81.0,7.0,91.0,39.6
57015,0,32,151.0,51.0,7.0,89.0,39.5
55743,1,54,175.0,83.0,18.0,100.0,40.4
21140,1,27,191.0,91.0,20.0,100.0,40.3
1108,0,40,162.0,67.0,21.0,113.0,40.7
11090,0,36,172.0,71.0,23.0,107.0,40.9
8269,1,51,193.0,94.0,1.0,80.0,37.4
8054,0,53,167.0,68.0,3.0,83.0,38.9
15529,1,59,173.0,82.0,11.0,84.0,40.0
3542,0,20,158.0,54.0,24.0,102.0,40.7
14172,0,21,171.0,64.0,11.0,96.0,40.4
8359,0,29,176.0,66.0,27.0,109.0,40.6
16316,1,29,187.0,92.0,2.0,86.0,38.3
38969,1,40,192.0,98.0,21.0,99.0,40.4
68795,0,43,164.0,64.0,5.0,80.0,39.2
37154,1,51,189.0,96.0,8.0,89.0,39.6
35101,0,24,157.0,54.0,18.0,103.0,40.5
21829,1,47,176.0,78.0,22.0,102.0,40.6
27061,1,48,176.0,78.0,11.0,91.0,39.9
25730,1,48,199.0,102.0,5.0,87.0,38.9
22558,0,32,149.0,51.0,29.0,111.0,40.9
29562,0,40,161.0,57.0,27.0,103.0,40.8
26407,0,45,158.0,62.0,8.0,89.0,39.2
56773,0,51,174.0,74.0,25.0,103.0,40.8
12729,0,51,166.0,65.0,25.0,102.0,40.6
6438,1,24,192.0,90.0,27.0,106.0,40.7
56928,1,21,192.0,93.0,9.0,88.0,39.8
52166,1,22,186.0,80.0,9.0,94.0,40.0
65091,1,62,194.0,99.0,8.0,83.0,39.6
12779,0,21,166.0,59.0,8.0,81.0,39.8
22267,0,22,175.0,72.0,26.0,97.0,40.8
24152,1,54,192.0,91.0,21.0,107.0,40.7
53113,0,50,176.0,70.0,20.0,104.0,40.2
74681,0,29,169.0,71.0,27.0,106.0,40.7
71565,1,38,177.0,82.0,6.0,91.0,39.1
15228,1,42,180.0,84.0,28.0,114.0,40.9
55635,1,54,169.0,70.0,16.0,98.0,40.2
67873,0,60,166.0,66.0,8.0,89.0,39.8
15568,0,79,159.0,61.0,29.0,107.0,41.0
67983,0,59,156.0,57.0,17.0,102.0,40.4
68306,1,21,193.0,94.0,7.0,89.0,39.2
59689,1,24,180.0,83.0,12.0,98.0,40.5
61725,1,65,188.0,93.0,13.0,95.0,40.0
4396,0,64,162.0,60.0,30.0,114.0,40.9
47364,0,32,156.0,59.0,17.0,96.0,40.7
1384,0,29,158.0,61.0,13.0,99.0,40.3
59417,0,27,170.0,66.0,13.0,90.0,39.9
34209,1,51,194.0,87.0,30.0,111.0,41.2
61007,1,32,174.0,79.0,3.0,86.0,38.7
56777,0,71,177.0,76.0,10.0,96.0,39.7
59114,0,35,177.0,78.0,8.0,79.0,39.8
72322,0,53,162.0,56.0,29.0,109.0,40.6
10181,0,23,168.0,67.0,9.0,89.0,39.7
54557,0,36,155.0,56.0,12.0,95.0,39.9
24415,0,21,180.0,75.0,17.0,98.0,40.0
23109,1,57,198.0,100.0,29.0,107.0,40.8
63613,1,72,193.0,101.0,25.0,111.0,40.9
56287,0,21,164.0,60.0,12.0,93.0,40.2
74559,1,52,183.0,89.0,29.0,104.0,40.7
5450,1,23,195.0,99.0,5.0,85.0,39.4
11146,0,49,169.0,71.0,21.0,105.0,40.5
60174,0,46,160.0,56.0,2.0,81.0,38.2
1496,1,31,196.0,106.0,7.0,86.0,39.7
33501,0,36,166.0,64.0,28.0,109.0,40.8
48108,1,28,199.0,96.0,17.0,84.0,40.9
8532,1,51,181.0,91.0,14.0,86.0,40.2
64636,1,36,194.0,97.0,27.0,107.0,40.8
64976,0,26,174.0,70.0,23.0,107.0,40.7
57674,0,40,160.0,64.0,21.0,96.0,40.6
43419,1,22,194.0,94.0,1.0,76.0,37.7
40578,0,37,162.0,62.0,23.0,103.0,40.7
18714,1,54,194.0,95.0,2.0,83.0,38.0
60153,1,26,177.0,80.0,28.0,103.0,41.2
61159,0,39,158.0,59.0,6.0,81.0,39.4
51535,1,28,185.0,83.0,9.0,88.0,39.6
72663,0,51,174.0,73.0,25.0,102.0,40.6
37456,0,47,168.0,67.0,18.0,96.0,40.4
23155,0,31,164.0,64.0,15.0,104.0,40.3
19603,1,48,194.0,96.0,6.0,86.0,39.3
72729,1,49,189.0,94.0,28.0,107.0,40.9
68879,1,32,178.0,77.0,21.0,101.0,40.8
47804,1,38,190.0,91.0,3.0,87.0,38.9
18694,0,52,178.0,72.0,3.0,81.0,38.7
50608,1,26,174.0,79.0,3.0,80.0,38.8
26794,1,47,180.0,87.0,3.0,74.0,37.9
57401,1,44,189.0,91.0,28.0,114.0,40.9
27634,1,78,179.0,84.0,27.0,110.0,40.8
54311,1,52,189.0,91.0,22.0,99.0,40.5
2768,1,73,188.0,89.0,27.0,103.0,40.9
66666,0,59,159.0,58.0,14.0,92.0,40.4
62106,1,21,189.0,95.0,21.0,104.0,41.0
34435,0,21,169.0,63.0,29.0,109.0,41.0
15181,1,41,184.0,88.0,8.0,97.0,39.7
1336,0,20,161.0,62.0,30.0,105.0,40.8
6564,1,32,183.0,88.0,4.0,91.0,39.0
23045,0,28,160.0,55.0,27.0,105.0,41.0
20357,0,36,164.0,64.0,27.0,104.0,40.8
59953,0,54,158.0,59.0,7.0,82.0,39.5
59939,1,48,187.0,90.0,16.0,96.0,40.1
5964,0,28,168.0,62.0,4.0,79.0,39.0
51161,0,51,157.0,58.0,28.0,106.0,40.7
34061,0,30,171.0,70.0,7.0,89.0,39.4
42976,1,25,182.0,83.0,29.0,107.0,41.1
33105,0,54,171.0,64.0,20.0,104.0,40.2
22861,0,41,160.0,59.0,3.0,80.0,38.6
40450,1,40,202.0,102.0,22.0,104.0,40.9
1474,0,51,152.0,60.0,11.0,88.0,39.7
37809,0,28,157.0,56.0,23.0,102.0,40.4
25241,1,21,181.0,84.0,7.0,86.0,39.5
1553,0,25,177.0,73.0,1.0,86.0,37.9
68092,0,48,153.0,60.0,11.0,94.0,39.8
41894,0,20,170.0,70.0,7.0,94.0,39.5
58767,1,69,172.0,80.0,3.0,91.0,38.7
10546,0,45,158.0,62.0,20.0,108.0,40.7
62756,1,52,182.0,86.0,4.0,72.0,38.1
22427,1,20,191.0,92.0,16.0,97.0,40.0
55629,1,25,171.0,80.0,24.0,116.0,40.8
44475,1,31,179.0,83.0,5.0,85.0,39.6
39957,1,54,167.0,72.0,11.0,96.0,39.9
57298,0,43,164.0,60.0,6.0,89.0,39.5
40660,1,27,189.0,94.0,18.0,99.0,40.3
59559,0,21,176.0,71.0,21.0,98.0,40.4
12231,1,58,192.0,92.0,12.0,92.0,40.2
27143,1,38,189.0,82.0,28.0,106.0,40.8
55644,1,65,176.0,78.0,29.0,116.0,40.7
24874,0,32,175.0,69.0,8.0,93.0,39.4
66363,0,29,160.0,60.0,26.0,107.0,41.1
64167,0,22,168.0,62.0,24.0,105.0,40.6
44410,1,72,193.0,102.0,17.0,104.0,40.6
2119,0,35,170.0,70.0,21.0,93.0,40.5
58293,0,20,168.0,65.0,14.0,91.0,40.1
20177,0,21,155.0,59.0,1.0,79.0,37.9
59445,0,21,163.0,62.0,19.0,99.0,40.7
30739,1,31,191.0,89.0,13.0,90.0,40.0
39315,1,21,188.0,94.0,19.0,99.0,40.6
70743,1,34,188.0,86.0,18.0,96.0,40.6
65275,1,62,171.0,73.0,5.0,79.0,39.1
48995,0,50,180.0,81.0,25.0,92.0,40.8
51467,0,54,181.0,84.0,15.0,104.0,39.8
6363,0,23,149.0,53.0,18.0,96.0,40.6
39418,0,58,160.0,63.0,8.0,91.0,39.6
23794,0,55,167.0,68.0,18.0,90.0,40.3
4794,0,55,173.0,69.0,2.0,85.0,38.1
31530,0,48,160.0,63.0,11.0,93.0,39.9
10397,0,50,161.0,62.0,14.0,95.0,40.4
63104,0,42,171.0,70.0,21.0,102.0,40.6
19434,0,46,153.0,52.0,5.0,79.0,38.9
13997,1,48,195.0,95.0,7.0,85.0,39.5
48831,0,75,167.0,66.0,25.0,104.0,40.8
5471,0,20,158.0,59.0,25.0,105.0,40.5
392,1,25,169.0,65.0,15.0,93.0,40.1
62931,0,45,182.0,72.0,7.0,94.0,39.7
5340,1,39,182.0,84.0,6.0,92.0,39.1
11269,0,37,169.0,68.0,26.0,106.0,40.7
14356,1,35,179.0,81.0,25.0,109.0,40.6
34146,1,69,193.0,97.0,19.0,97.0,40.5
54075,0,31,166.0,72.0,13.0,94.0,40.2
10323,1,20,193.0,102.0,4.0,91.0,39.1
11690,0,30,156.0,57.0,22.0,102.0,40.4
73603,0,40,180.0,81.0,12.0,82.0,40.3
23603,0,63,163.0,65.0,26.0,106.0,40.9
28538,1,72,191.0,99.0,14.0,90.0,40.1
41035,1,63,178.0,84.0,13.0,91.0,40.1
1878,0,32,169.0,64.0,15.0,91.0,40.3
18224,1,30,181.0,83.0,27.0,110.0,41.0
29042,0,41,161.0,64.0,8.0,95.0,39.7
62871,0,41,162.0,59.0,21.0,96.0,40.5
73643,1,23,179.0,81.0,12.0,89.0,40.3
35742,1,31,179.0,79.0,13.0,92.0,40.2
47792,1,27,180.0,88.0,14.0,98.0,40.0
72208,0,28,147.0,51.0,27.0,111.0,40.7
62143,0,41,163.0,60.0,18.0,100.0,40.4
69865,0,59,167.0,62.0,20.0,102.0,40.6
60468,0,75,156.0,61.0,5.0,94.0,39.2
60232,1,37,180.0,88.0,9.0,91.0,39.8
18916,1,53,169.0,72.0,27.0,103.0,40.6
21722,1,21,184.0,84.0,14.0,97.0,40.0
24539,0,60,157.0,59.0,5.0,84.0,39.1
13169,1,61,191.0,94.0,26.0,104.0,40.9
69961,0,79,159.0,63.0,13.0,86.0,40.3
54821,1,71,187.0,93.0,2.0,83.0,38.3
58352,1,32,185.0,89.0,13.0,100.0,40.0
37588,0,26,174.0,71.0,8.0,85.0,40.7
12096,0,65,160.0,60.0,16.0,95.0,40.4
3357,0,37,170.0,73.0,14.0,99.0,40.1
8095,0,30,163.0,61.0,14.0,90.0,40.2
61520,1,28,192.0,93.0,2.0,79.0,38.0
50878,0,51,166.0,63.0,10.0,90.0,39.6
66941,1,39,182.0,81.0,7.0,83.0,39.5
32791,0,28,183.0,76.0,13.0,93.0,40.1
23872,1,58,188.0,87.0,13.0,89.0,40.0
72559,0,41,164.0,61.0,16.0,95.0,40.3
9094,0,32,151.0,51.0,12.0,96.0,39.9
41033,0,26,162.0,61.0,14.0,96.0,40.2
25516,0,54,171.0,71.0,3.0,89.0,38.6
13259,0,20,165.0,63.0,4.0,83.0,39.1
58287,0,21,158.0,57.0,29.0,98.0,41.5
23712,0,25,162.0,64.0,24.0,101.0,40.4
62691,0,20,158.0,63.0,21.0,108.0,40.7
52538,0,74,162.0,67.0,23.0,103.0,40.7
50882,0,23,172.0,65.0,11.0,86.0,40.3
33102,0,39,178.0,75.0,14.0,98.0,40.1
62441,1,29,179.0,85.0,19.0,107.0,40.5
29860,0,48,161.0,61.0,11.0,88.0,39.7
65843,0,40,175.0,68.0,6.0,84.0,39.1
22518,1,35,189.0,87.0,26.0,109.0,41.1
5944,1,29,172.0,75.0,21.0,101.0,40.6
9527,0,25,159.0,61.0,4.0,87.0,38.4
61705,0,59,173.0,69.0,12.0,94.0,39.8
61183,1,74,186.0,82.0,12.0,90.0,40.1
50716,1,35,192.0,94.0,25.0,97.0,40.7
6216,1,48,172.0,78.0,16.0,94.0,40.4
4508,0,42,167.0,63.0,25.0,111.0,40.8
50769,0,31,166.0,58.0,16.0,91.0,40.3
58154,0,24,160.0,60.0,10.0,86.0,39.6
70439,1,56,193.0,99.0,19.0,113.0,40.5
22103,1,28,190.0,96.0,27.0,108.0,40.9
47911,1,67,175.0,78.0,13.0,92.0,40.0
6176,0,50,169.0,68.0,21.0,103.0,40.6
39087,1,20,202.0,100.0,13.0,102.0,40.3
41847,0,36,170.0,63.0,4.0,86.0,38.9
57964,1,38,177.0,82.0,11.0,86.0,39.8
32266,1,47,168.0,68.0,22.0,101.0,40.8
4738,0,46,161.0,57.0,13.0,91.0,40.5
34280,1,33,186.0,92.0,3.0,79.0,38.5
69476,1,28,181.0,78.0,4.0,78.0,39.1
28032,0,67,163.0,68.0,26.0,105.0,40.9
13299,1,59,173.0,78.0,8.0,88.0,39.7
47268,1,38,193.0,98.0,4.0,88.0,38.9
21524,0,54,163.0,66.0,3.0,82.0,39.0
15114,1,44,177.0,84.0,9.0,91.0,39.8
10664,1,28,181.0,82.0,9.0,93.0,40.0
39050,1,60,182.0,85.0,18.0,92.0,40.6
35074,1,41,187.0,90.0,6.0,93.0,39.4
9575,0,39,161.0,63.0,26.0,107.0,40.8
48130,1,62,193.0,89.0,5.0,77.0,39.1
65065,0,39,166.0,62.0,24.0,106.0,41.0
24884,0,27,152.0,56.0,27.0,105.0,40.5
41531,1,35,196.0,98.0,29.0,114.0,40.9
29196,1,33,196.0,101.0,26.0,103.0,40.9
30735,0,71,166.0,66.0,2.0,82.0,38.3
17947,1,45,173.0,72.0,18.0,102.0,40.2
52295,0,38,160.0,60.0,22.0,112.0,40.7
55285,1,22,192.0,92.0,2.0,84.0,38.1
21048,1,21,200.0,96.0,28.0,113.0,40.7
72000,0,65,159.0,58.0,12.0,117.0,40.2
52274,0,74,168.0,64.0,4.0,79.0,38.7
17204,1,21,187.0,90.0,9.0,91.0,39.8
43297,1,48,180.0,87.0,20.0,95.0,40.5
30905,0,24,170.0,60.0,1.0,80.0,37.9
30189,0,41,153.0,53.0,24.0,110.0,40.9
23709,0,70,169.0,68.0,10.0,93.0,40.0
17494,1,54,184.0,84.0,28.0,110.0,40.7
48185,0,54,170.0,71.0,26.0,109.0,40.7
52914,1,23,185.0,84.0,22.0,104.0,40.9
46702,0,39,179.0,80.0,19.0,95.0,40.7
53727,0,69,160.0,62.0,17.0,101.0,40.2
61637,0,45,152.0,50.0,3.0,79.0,39.0
67711,1,26,193.0,93.0,11.0,95.0,39.8
61387,1,38,181.0,78.0,16.0,92.0,40.3
16729,1,32,185.0,84.0,3.0,79.0,38.7
5643,1,54,181.0,92.0,23.0,96.0,41.0
24920,0,58,161.0,61.0,12.0,93.0,40.3
72311,0,56,155.0,57.0,13.0,88.0,40.0
32466,0,54,168.0,70.0,21.0,108.0,40.5
39693,0,48,172.0,71.0,10.0,99.0,40.2
7380,0,50,157.0,60.0,24.0,100.0,40.8
42474,0,45,150.0,49.0,2.0,85.0,38.6
15298,0,75,165.0,67.0,10.0,93.0,39.4
50465,1,51,189.0,88.0,13.0,89.0,40.1
33226,1,50,184.0,84.0,21.0,105.0,40.5
28498,1,41,180.0,88.0,8.0,93.0,39.2
72985,0,49,175.0,66.0,8.0,90.0,39.8
14825,0,39,177.0,72.0,5.0,85.0,39.3
26007,0,32,161.0,61.0,15.0,95.0,40.1
41681,0,59,168.0,66.0,9.0,84.0,39.8
49433,1,23,179.0,81.0,20.0,113.0,40.7
41529,0,46,155.0,57.0,2.0,79.0,38.0
2142,0,64,161.0,64.0,13.0,93.0,40.2
64165,1,65,207.0,114.0,27.0,110.0,40.8
16049,0,24,169.0,63.0,10.0,89.0,39.7
10264,0,59,167.0,64.0,25.0,118.0,40.8
26073,0,24,173.0,66.0,28.0,101.0,40.9
19831,1,38,182.0,82.0,9.0,85.0,39.7
9690,1,50,172.0,79.0,22.0,100.0,41.2
5789,1,45,175.0,75.0,7.0,89.0,39.6
64339,0,45,168.0,70.0,17.0,97.0,40.5
64483,1,50,174.0,77.0,25.0,99.0,40.7
74156,1,49,181.0,87.0,29.0,100.0,40.8
49674,1,68,181.0,81.0,26.0,113.0,40.9
34116,0,29,169.0,66.0,28.0,107.0,40.5
52374,0,27,172.0,70.0,18.0,100.0,40.3
17331,1,33,196.0,103.0,17.0,98.0,40.2
67757,1,78,192.0,102.0,1.0,79.0,37.9
34677,0,46,176.0,72.0,2.0,89.0,38.6
20771,0,50,176.0,73.0,26.0,94.0,40.7
70219,1,52,179.0,87.0,30.0,109.0,40.9
6652,0,45,167.0,67.0,2.0,85.0,37.9
33328,1,59,190.0,91.0,23.0,99.0,40.9
23860,1,43,193.0,98.0,19.0,93.0,40.3
28850,1,64,174.0,81.0,18.0,93.0,40.8
20023,0,33,159.0,59.0,14.0,92.0,40.3
71310,0,29,178.0,73.0,27.0,107.0,41.1
40716,0,37,166.0,67.0,15.0,97.0,40.3
49825,1,55,193.0,98.0,5.0,83.0,39.1
